Name,Body Part,Equipment,Intensity,Calories Burned (Man) 10min,Calories Burned (Woman) 10min
barbell rear delt raise,shoulders,barbell,high,69,56
barbell rear delt row,shoulders,barbell,high,69,56
barbell rear lunge,upper legs,barbell,high,71,58
barbell rear lunge v. 2,upper legs,barbell,high,71,58
barbell revers wrist curl v. 2,lower arms,barbell,high,64,52
barbell reverse close-grip bench press,upper arms,barbell,high,69,56
barbell reverse curl,upper arms,barbell,high,69,56
barbell reverse grip bent over row,back,barbell,high,71,58
barbell reverse grip decline bench press,chest,barbell,high,71,58
barbell reverse grip incline bench press,chest,barbell,high,71,58
barbell reverse grip incline bench row,back,barbell,high,71,58
barbell reverse grip skullcrusher,upper arms,barbell,high,69,56
barbell reverse preacher curl,upper arms,barbell,high,69,56
barbell reverse wrist curl,lower arms,barbell,high,64,52
barbell rollerout,waist,barbell,light,27,22
barbell rollerout from bench,waist,barbell,light,27,22
barbell romanian deadlift,upper legs,barbell,high,71,58
barbell seated behind head military press,shoulders,barbell,high,69,56
barbell seated bradford rocky press,shoulders,barbell,high,69,56
barbell seated calf raise,lower legs,barbell,high,67,54
barbell seated calf raise,lower legs,barbell,high,67,54
barbell seated close grip behind neck triceps extension,upper arms,barbell,high,69,56
barbell seated close-grip concentration curl,upper arms,barbell,high,69,56
barbell seated good morning,upper legs,barbell,high,71,58
barbell seated overhead press,shoulders,barbell,high,69,56
barbell seated overhead triceps extension,upper arms,barbell,high,69,56
barbell seated twist,waist,barbell,light,27,22
barbell shrug,back,barbell,high,71,58
barbell side bent v. 2,waist,barbell,light,27,22
barbell side split squat,upper legs,barbell,high,71,58
barbell side split squat v. 2,upper legs,barbell,high,71,58
barbell single leg deadlift,upper legs,barbell,high,71,58
barbell single leg split squat,upper legs,barbell,high,71,58
barbell sitted alternate leg raise,waist,barbell,light,27,22
barbell sitted alternate leg raise (female),waist,barbell,light,27,22
barbell skier,shoulders,barbell,high,69,56
barbell speed squat,upper legs,barbell,high,71,58
barbell split squat v. 2,upper legs,barbell,high,71,58
barbell squat (on knees),upper legs,barbell,high,71,58
barbell squat jump step rear lunge,upper legs,barbell,high,71,58
barbell standing ab rollerout,waist,barbell,light,27,22
barbell standing back wrist curl,lower arms,barbell,high,64,52
barbell standing bradford press,shoulders,barbell,high,69,56
barbell standing calf raise,lower legs,barbell,high,67,54
barbell standing close grip curl,upper arms,barbell,high,69,56
barbell standing close grip military press,shoulders,barbell,high,69,56
barbell standing concentration curl,upper arms,barbell,high,69,56
barbell standing front raise over head,shoulders,barbell,high,69,56
barbell standing leg calf raise,lower legs,barbell,high,67,54
barbell standing overhead triceps extension,upper arms,barbell,high,69,56
barbell standing reverse grip curl,upper arms,barbell,high,69,56
barbell standing rocking leg calf raise,lower legs,barbell,high,67,54
barbell standing twist,waist,barbell,light,27,22
barbell standing wide grip biceps curl,upper arms,barbell,high,69,56
barbell standing wide military press,shoulders,barbell,high,69,56
barbell standing wide-grip curl,upper arms,barbell,high,69,56
barbell step-up,upper legs,barbell,high,71,58
barbell stiff leg good morning,upper legs,barbell,high,71,58
barbell straight leg deadlift,upper legs,barbell,high,71,58
barbell sumo deadlift,upper legs,barbell,high,71,58
barbell thruster,shoulders,barbell,high,69,56
barbell upright row,shoulders,barbell,high,69,56
barbell upright row v. 2,shoulders,barbell,high,69,56
barbell upright row v. 3,shoulders,barbell,high,69,56
barbell wide bench press,chest,barbell,high,71,58
barbell wide reverse grip bench press,chest,barbell,high,71,58
barbell wide squat,upper legs,barbell,high,71,58
barbell wide-grip upright row,shoulders,barbell,high,69,56
barbell wrist curl,lower arms,barbell,high,64,52
barbell wrist curl v. 2,lower arms,barbell,high,64,52
barbell zercher squat,upper legs,barbell,high,71,58
basic toe touch (male),upper legs,body weight,moderate,51,42
battling ropes,shoulders,rope,high,69,56
bear crawl,cardio,body weight,high,68,55
behind head chest stretch,chest,assisted,light,30,25
bench dip (knees bent),upper arms,body weight,high,72,59
bench dip on floor,upper arms,body weight,high,72,59
bench hip extension,upper legs,body weight,moderate,51,42
bench pull-ups,back,body weight,high,75,61
bent knee lying twist (male),upper legs,body weight,moderate,51,42
biceps leg concentration curl,upper arms,body weight,high,72,59
biceps narrow pull-ups,upper arms,body weight,high,72,59
biceps pull-up,upper arms,body weight,high,72,59
body-up,upper arms,body weight,high,72,59
bodyweight drop jump squat,upper legs,body weight,moderate,51,42
bodyweight incline side plank,waist,body weight,light,30,25
bodyweight kneeling triceps extension,upper arms,body weight,high,72,59
bodyweight side lying biceps curl,upper arms,body weight,high,72,59
bodyweight squatting row,back,body weight,high,75,61
bodyweight squatting row (with towel),back,body weight,high,75,61
bodyweight standing calf raise,lower legs,body weight,moderate,47,38
bodyweight standing close-grip one arm row,back,body weight,high,75,61
bodyweight standing close-grip row,back,body weight,high,75,61
bodyweight standing one arm row,back,body weight,high,75,61
bodyweight standing one arm row (with towel),back,body weight,high,75,61
bodyweight standing row,back,body weight,high,75,61
bodyweight standing row (with towel),back,body weight,high,75,61
bottoms-up,waist,body weight,light,30,25
box jump down with one leg stabilization,lower legs,body weight,moderate,47,38
bridge - mountain climber (cross body),waist,body weight,light,30,25
burpee,cardio,body weight,high,68,55
butt-ups,waist,body weight,light,30,25
butterfly yoga pose,upper legs,body weight,moderate,51,42
cable alternate shoulder press,shoulders,cable,high,75,61
cable alternate triceps extension,upper arms,cable,high,75,61
cable assisted inverse leg curl,upper legs,cable,high,77,63
cable bar lateral pulldown,back,cable,high,77,63
cable bench press,chest,cable,high,77,63
cable close grip curl,upper arms,cable,high,75,61
cable concentration curl,upper arms,cable,high,75,61
cable concentration extension (on knee),upper arms,cable,high,75,61
cable cross-over lateral pulldown,back,cable,high,77,63
cable cross-over revers fly,shoulders,cable,high,75,61
cable cross-over variation,chest,cable,high,77,63
cable curl,upper arms,cable,high,75,61
cable deadlift,upper legs,cable,high,77,63
cable decline fly,chest,cable,high,77,63
cable decline one arm press,chest,cable,high,77,63
cable decline press,chest,cable,high,77,63
cable decline seated wide-grip row,back,cable,high,77,63
cable drag curl,upper arms,cable,high,75,61
cable floor seated wide-grip row,back,cable,high,77,63
cable forward raise,shoulders,cable,high,75,61
cable front raise,shoulders,cable,high,75,61
cable front shoulder raise,shoulders,cable,high,75,61
cable hammer curl (with rope),upper arms,cable,high,75,61
cable high pulley overhead tricep extension,upper arms,cable,high,75,61
cable high row (kneeling),back,cable,high,77,63
cable hip adduction,upper legs,cable,high,77,63
cable incline bench press,chest,cable,high,77,63
cable incline bench row,back,cable,high,77,63
cable incline fly,chest,cable,high,77,63
cable incline fly (on stability ball),chest,cable,high,77,63
cable incline pushdown,back,cable,high,77,63
cable incline triceps extension,upper arms,cable,high,75,61
cable judo flip,waist,cable,light,33,27
cable kickback,upper arms,cable,high,75,61
cable kneeling crunch,waist,cable,light,33,27
cable kneeling rear delt row (with rope) (male),shoulders,cable,high,75,61
cable kneeling triceps extension,upper arms,cable,high,75,61
cable lat pulldown full range of motion,back,cable,high,77,63
cable lateral pulldown (with rope attachment),back,cable,high,77,63
cable lateral pulldown with v-bar,back,cable,high,77,63
cable lateral raise,shoulders,cable,high,75,61
cable low fly,chest,cable,high,77,63
cable low seated row,back,cable,high,77,63
cable lying bicep curl,upper arms,cable,high,75,61
cable lying close-grip curl,upper arms,cable,high,75,61
cable lying extension pullover (with rope attachment),back,cable,high,77,63
cable lying fly,chest,cable,high,77,63
cable lying triceps extension v. 2,upper arms,cable,high,75,61
cable middle fly,chest,cable,high,77,63
cable one arm bent over row,back,cable,high,77,63
cable one arm curl,upper arms,cable,high,75,61
cable one arm decline chest fly,chest,cable,high,77,63
cable one arm fly on exercise ball,chest,cable,high,77,63
cable one arm incline fly on exercise ball,chest,cable,high,77,63
cable one arm incline press,chest,cable,high,77,63
cable one arm incline press on exercise ball,chest,cable,high,77,63
cable one arm lateral bent-over,chest,cable,high,77,63
cable one arm lateral raise,shoulders,cable,high,75,61
cable one arm preacher curl,upper arms,cable,high,75,61
cable one arm press on exercise ball,chest,cable,high,77,63
cable one arm pulldown,back,cable,high,77,63
cable one arm reverse preacher curl,upper arms,cable,high,75,61
cable one arm straight back high row (kneeling),back,cable,high,77,63
cable one arm tricep pushdown,upper arms,cable,high,75,61
cable overhead curl,upper arms,cable,high,75,61
cable overhead curl on exercise ball,upper arms,cable,high,75,61
cable overhead triceps extension (rope attachment),upper arms,cable,high,75,61
cable palm rotational row,back,cable,high,77,63
cable preacher curl,upper arms,cable,high,75,61
cable press on exercise ball,chest,cable,high,77,63
cable pull through (with rope),upper legs,cable,high,77,63
cable pulldown,back,cable,high,77,63
cable pulldown (pro lat bar),back,cable,high,77,63
cable pulldown bicep curl,upper arms,cable,high,75,61
cable pushdown,upper arms,cable,high,75,61
cable pushdown (straight arm) v. 2,back,cable,high,77,63
cable pushdown (with rope attachment),upper arms,cable,high,75,61
cable rear delt row (stirrups),shoulders,cable,high,75,61
cable rear delt row (with rope),shoulders,cable,high,75,61
cable rear drive,upper arms,cable,high,75,61
cable rear pulldown,back,cable,high,77,63
cable reverse crunch,waist,cable,light,33,27
cable reverse curl,upper arms,cable,high,75,61
cable reverse grip triceps pushdown (sz-bar) (with arm blaster),upper arms,cable,high,75,61
cable reverse one arm curl,upper arms,cable,high,75,61
cable reverse preacher curl,upper arms,cable,high,75,61
cable reverse wrist curl,lower arms,cable,high,70,57
cable reverse-grip pushdown,upper arms,cable,high,75,61
cable reverse-grip straight back seated high row,back,cable,high,77,63
cable rope crossover seated row,back,cable,high,77,63
cable rope elevated seated row,back,cable,high,77,63
cable rope extension incline bench row,back,cable,high,77,63
cable rope hammer preacher curl,upper arms,cable,high,75,61
cable rope high pulley overhead tricep extension,upper arms,cable,high,75,61
cable rope incline tricep extension,upper arms,cable,high,75,61
cable rope lying on floor tricep extension,upper arms,cable,high,75,61
cable rope one arm hammer preacher curl,upper arms,cable,high,75,61
cable rope seated row,back,cable,high,77,63
cable russian twists (on stability ball),waist,cable,light,33,27
cable seated chest press,chest,cable,high,77,63
cable seated crunch,waist,cable,light,33,27
cable seated curl,upper arms,cable,high,75,61
cable seated high row (v-bar),back,cable,high,77,63
cable seated one arm alternate row,back,cable,high,77,63
cable seated one arm concentration curl,upper arms,cable,high,75,61
cable seated overhead curl,upper arms,cable,high,75,61
cable seated rear lateral raise,shoulders,cable,high,75,61
cable seated row,back,cable,high,77,63
cable seated shoulder internal rotation,shoulders,cable,high,75,61
cable seated twist,waist,cable,light,33,27
cable seated wide-grip row,back,cable,high,77,63
cable shoulder press,shoulders,cable,high,75,61
cable shrug,back,cable,high,77,63
cable side bend,waist,cable,light,33,27
cable side bend crunch (bosu ball),waist,cable,light,33,27
cable side crunch,waist,cable,light,33,27
cable squat row (with rope attachment),back,cable,high,77,63
cable squatting curl,upper arms,cable,high,75,61
cable standing back wrist curl,lower arms,cable,high,70,57
cable standing calf raise,lower legs,cable,high,72,59
cable standing cross-over high reverse fly,shoulders,cable,high,75,61
cable standing crunch,waist,cable,light,33,27
cable standing crunch (with rope attachment),waist,cable,light,33,27
cable standing fly,chest,cable,high,77,63
cable standing hip extension,upper legs,cable,high,77,63
cable standing inner curl,upper arms,cable,high,75,61
cable standing lift,waist,cable,light,33,27
cable standing one arm triceps extension,upper arms,cable,high,75,61
cable standing one leg calf raise,lower legs,cable,high,72,59
cable standing pulldown (with rope),upper arms,cable,high,75,61
cable standing rear delt row (with rope),shoulders,cable,high,75,61
cable standing reverse grip one arm overhead tricep extension,upper arms,cable,high,75,61
cable standing row (v-bar),back,cable,high,77,63
cable standing shoulder external rotation,shoulders,cable,high,75,61
cable standing twist row (v-bar),back,cable,high,77,63
cable standing up straight crossovers,chest,cable,high,77,63
cable straight arm pulldown,back,cable,high,77,63
cable straight arm pulldown (with rope),back,cable,high,77,63
cable straight back seated row,back,cable,high,77,63
cable supine reverse fly,shoulders,cable,high,75,61
cable thibaudeau kayak row,back,cable,high,77,63
cable triceps pushdown (v-bar),upper arms,cable,high,75,61
cable triceps pushdown (v-bar) (with arm blaster),upper arms,cable,high,75,61
cable tuck reverse crunch,waist,cable,light,33,27
cable twist,waist,cable,light,33,27
cable twist (up-down),waist,cable,light,33,27
cable twisting pull,back,cable,high,77,63
cable two arm curl on incline bench,upper arms,cable,high,75,61
cable two arm tricep kickback,upper arms,cable,high,75,61
cable underhand pulldown,back,cable,high,77,63
cable upper chest crossovers,chest,cable,high,77,63
cable upper row,back,cable,high,77,63
cable upright row,shoulders,cable,high,75,61
cable wide grip rear pulldown behind neck,back,cable,high,77,63
cable wrist curl,lower arms,cable,high,70,57
calf push stretch with hands against wall,lower legs,body weight,light,29,24
calf stretch with hands against wall,lower legs,body weight,light,29,24
calf stretch with rope,lower legs,rope,light,26,21
cambered bar lying row,back,barbell,high,71,58
captains chair straight leg raise,waist,body weight,light,30,25
chair leg extended stretch,upper legs,body weight,light,34,28
chest and front of shoulder stretch,chest,body weight,light,34,28
chest dip,chest,body weight,high,75,61
chest dip (on dip-pull-up cage),chest,body weight,high,75,61
chest dip on straight bar,chest,body weight,high,75,61
chest stretch with exercise ball,chest,stability ball,light,30,25
chest tap push-up (male),chest,body weight,high,75,61
chin-up,back,body weight,high,75,61
chin-ups (narrow parallel grip),back,body weight,high,75,61
circles knee stretch,lower legs,body weight,light,29,24
clap push up,chest,body weight,high,75,61
clock push-up,chest,body weight,high,75,61
close grip chin-up,back,body weight,high,75,61
close-grip push-up,upper arms,body weight,high,72,59
close-grip push-up (on knees),upper arms,body weight,high,72,59
cocoons,waist,body weight,light,30,25
crab twist toe touch,waist,body weight,light,30,25
cross body crunch,waist,body weight,light,30,25
crunch (hands overhead),waist,body weight,light,30,25
crunch (on stability ball),waist,stability ball,light,27,22
"crunch (on stability ball, arms straight)",waist,stability ball,light,27,22
crunch floor,waist,body weight,light,30,25
curl-up,waist,body weight,light,30,25
curtsey squat,upper legs,body weight,moderate,51,42
cycle cross trainer,cardio,leverage machine,high,64,52
dead bug,waist,body weight,light,30,25
decline crunch,waist,body weight,light,30,25
decline push-up,chest,body weight,high,75,61
decline sit-up,waist,body weight,light,30,25
deep push up,chest,dumbbell,high,71,58
diamond push-up,upper arms,body weight,high,72,59
donkey calf raise,lower legs,body weight,moderate,47,38
drop push up,chest,body weight,high,75,61
dumbbell alternate biceps curl,upper arms,dumbbell,high,69,56
dumbbell alternate biceps curl (with arm blaster),upper arms,dumbbell,high,69,56
dumbbell alternate hammer preacher curl,upper arms,dumbbell,high,69,56
dumbbell alternate preacher curl,upper arms,dumbbell,high,69,56
dumbbell alternate seated hammer curl,upper arms,dumbbell,high,69,56
dumbbell alternate side press,shoulders,dumbbell,high,69,56
dumbbell alternating bicep curl with leg raised on exercise ball,upper arms,dumbbell,high,69,56
dumbbell alternating seated bicep curl on exercise ball,upper arms,dumbbell,high,69,56
dumbbell arnold press,shoulders,dumbbell,high,69,56
dumbbell arnold press v. 2,shoulders,dumbbell,high,69,56
dumbbell around pullover,chest,dumbbell,high,71,58
dumbbell bench press,chest,dumbbell,high,71,58
dumbbell bench seated press,shoulders,dumbbell,high,69,56
dumbbell bench squat,upper legs,dumbbell,high,71,58
dumbbell bent over row,back,dumbbell,high,71,58
dumbbell bicep curl lunge with bowling motion,upper arms,dumbbell,high,69,56
dumbbell bicep curl on exercise ball with leg raised,upper arms,dumbbell,high,69,56
dumbbell bicep curl with stork stance,upper arms,dumbbell,high,69,56
dumbbell biceps curl,upper arms,dumbbell,high,69,56
dumbbell biceps curl (with arm blaster),upper arms,dumbbell,high,69,56
dumbbell biceps curl reverse,upper arms,dumbbell,high,69,56
dumbbell biceps curl squat,upper arms,dumbbell,high,69,56
dumbbell biceps curl v sit on bosu ball,upper arms,dumbbell,high,69,56
dumbbell burpee,cardio,dumbbell,high,64,52
dumbbell clean,upper legs,dumbbell,high,71,58
dumbbell close grip press,upper arms,dumbbell,high,69,56
dumbbell close-grip press,upper arms,dumbbell,high,69,56
dumbbell concentration curl,upper arms,dumbbell,high,69,56
dumbbell contralateral forward lunge,upper legs,dumbbell,high,71,58
dumbbell cross body hammer curl,upper arms,dumbbell,high,69,56
dumbbell cross body hammer curl v. 2,upper arms,dumbbell,high,69,56
dumbbell cuban press,shoulders,dumbbell,high,69,56
dumbbell cuban press v. 2,shoulders,dumbbell,high,69,56
dumbbell deadlift,upper legs,dumbbell,high,71,58
dumbbell decline bench press,chest,dumbbell,high,71,58
dumbbell decline fly,chest,dumbbell,high,71,58
dumbbell decline hammer press,chest,dumbbell,high,71,58
dumbbell decline one arm fly,chest,dumbbell,high,71,58
dumbbell decline one arm hammer press,upper arms,dumbbell,high,69,56
dumbbell decline shrug,back,dumbbell,high,71,58
dumbbell decline shrug v. 2,back,dumbbell,high,71,58
dumbbell decline triceps extension,upper arms,dumbbell,high,69,56
dumbbell decline twist fly,chest,dumbbell,high,71,58
dumbbell finger curls,lower arms,dumbbell,high,64,52
dumbbell fly,chest,dumbbell,high,71,58
dumbbell fly on exercise ball,chest,dumbbell,high,71,58
dumbbell forward lunge triceps extension,upper arms,dumbbell,high,69,56
dumbbell front raise,shoulders,dumbbell,high,69,56
dumbbell front raise v. 2,shoulders,dumbbell,high,69,56
dumbbell full can lateral raise,shoulders,dumbbell,high,69,56
dumbbell goblet squat,upper legs,dumbbell,high,71,58
dumbbell hammer curl,upper arms,dumbbell,high,69,56
dumbbell hammer curl on exercise ball,upper arms,dumbbell,high,69,56
dumbbell hammer curl v. 2,upper arms,dumbbell,high,69,56
dumbbell hammer curls (with arm blaster),upper arms,dumbbell,high,69,56
dumbbell high curl,upper arms,dumbbell,high,69,56
dumbbell incline alternate press,chest,dumbbell,high,71,58
dumbbell incline bench press,chest,dumbbell,high,71,58
dumbbell incline biceps curl,upper arms,dumbbell,high,69,56
dumbbell incline breeding,chest,dumbbell,high,71,58
dumbbell incline curl,upper arms,dumbbell,high,69,56
dumbbell incline curl v. 2,upper arms,dumbbell,high,69,56
dumbbell incline fly,chest,dumbbell,high,71,58
dumbbell incline fly on exercise ball,chest,dumbbell,high,71,58
dumbbell incline hammer curl,upper arms,dumbbell,high,69,56
dumbbell incline hammer press,chest,dumbbell,high,71,58
dumbbell incline hammer press on exercise ball,upper arms,dumbbell,high,69,56
dumbbell incline inner biceps curl,upper arms,dumbbell,high,69,56
dumbbell incline one arm fly,chest,dumbbell,high,71,58
dumbbell incline one arm fly on exercise ball,chest,dumbbell,high,71,58
dumbbell incline one arm hammer press,upper arms,dumbbell,high,69,56
dumbbell incline one arm hammer press on exercise ball,upper arms,dumbbell,high,69,56
dumbbell incline one arm lateral raise,shoulders,dumbbell,high,69,56
dumbbell incline one arm press,chest,dumbbell,high,71,58
dumbbell incline one arm press on exercise ball,chest,dumbbell,high,71,58
dumbbell incline palm-in press,chest,dumbbell,high,71,58
dumbbell incline press on exercise ball,chest,dumbbell,high,71,58
dumbbell incline raise,shoulders,dumbbell,high,69,56
dumbbell incline rear lateral raise,shoulders,dumbbell,high,69,56
dumbbell incline row,back,dumbbell,high,71,58
dumbbell incline shoulder raise,chest,dumbbell,high,71,58
dumbbell incline shrug,back,dumbbell,high,71,58
dumbbell incline t-raise,shoulders,dumbbell,high,69,56
dumbbell incline triceps extension,upper arms,dumbbell,high,69,56
dumbbell incline twisted flyes,chest,dumbbell,high,71,58
dumbbell incline two arm extension,upper arms,dumbbell,high,69,56
dumbbell incline y-raise,back,dumbbell,high,71,58
dumbbell iron cross,shoulders,dumbbell,high,69,56
dumbbell kickback,upper arms,dumbbell,high,69,56
dumbbell kickbacks on exercise ball,upper arms,dumbbell,high,69,56
dumbbell kneeling bicep curl exercise ball,upper arms,dumbbell,high,69,56
dumbbell lateral raise,shoulders,dumbbell,high,69,56
dumbbell lateral to front raise,shoulders,dumbbell,high,69,56
dumbbell lunge,upper legs,dumbbell,high,71,58
dumbbell lunge with bicep curl,upper arms,dumbbell,high,69,56
dumbbell lying extension (across face),upper arms,dumbbell,high,69,56
