index,Age,Gender,Height (cm),Weight (lbs),Goal,Workout Plan,Experience Level,Weight Loss (lbs),Frequency days/week,Workout Type,Age Group,Weight Group,Weight Loss Scale,Cluster
15,38,Male,177,128.52,Build Muscle,8x8 Workout: Lean Muscle Gainz Workout,Intermediate,38,4,Split,Ages 31-40,121-140,35-45,1
16,40,Male,175,131.62,Lose Fat,Livin' Lean: 8 Week Kick-Starter Fat Loss Workout,Beginner,0,4,Split,Ages 31-40,121-140,0,10
17,39,Male,194,173.27,Lose Fat,Extreme Fat Loss: 6 Week Fat Loss Workout Plan,Intermediate,0,3,Full Body,Ages 31-40,161-180,0,3
18,40,Male,158,172.47,Build Muscle,A/B 2 Day Workout Routine for Busy People,Beginner,32,2,Full Body,Ages 31-40,161-180,25-35,8
19,35,Male,159,80.04,Build Muscle,Ultimate Workout to Develop a Dramatic V Taper,Beginner,0,5,Split,Ages 31-40,80-100,0,12
20,35,Male,190,133.44,Build Muscle,Dumbbell Only Workout: 5 Day Dumbbell Workout Split,Intermediate,0,5,Split,Ages 31-40,121-140,0,1
21,58,Male,191,148.1,Build Muscle,Ultimate Workout to Develop a Dramatic V Taper,Beginner,0,5,Split,Ages 51-60,141-160,0,12
22,22,Male,181,137.56,Build Muscle,Super Strength: 8 Week Strength Building Workout for Beginners,Beginner,0,6,Split,Ages 18-30,121-140,0,12
23,58,Male,154,99.79,Build Muscle,Ultimate Workout to Develop a Dramatic V Taper,Beginner,0,5,Split,Ages 51-60,80-100,0,12
24,22,Male,172,86.08,Build Muscle,8x8 Workout: Lean Muscle Gainz Workout,Intermediate,44,4,Split,Ages 18-30,80-100,35-45,1
25,37,Male,160,97.74,Build Muscle,Super Strength: 8 Week Strength Building Workout for Beginners,Beginner,27,6,Split,Ages 31-40,80-100,25-35,12
26,23,Male,186,177.04,Lose Fat,12 Week Fat Destroyer: Complete Fat Loss Workout & Diet Program,Beginner,23,4,Full Body,Ages 18-30,161-180,15-25,7
27,37,Male,157,208.45,Build Muscle,M-F Workout Routine: 5 Day Body Part Split Workout,Intermediate,45,5,Split,Ages 31-40,200+,45-50,1
28,20,Male,198,166.44,Lose Fat,Extreme Fat Loss: 6 Week Fat Loss Workout Plan,Intermediate,16,3,Full Body,Ages 18-30,161-180,15-25,3
29,29,Male,172,188.35,Lose Fat,Livin' Lean: 8 Week Kick-Starter Fat Loss Workout,Beginner,0,4,Split,Ages 18-30,180-200,0,10
30,56,Male,156,149.58,Build Muscle,Dumbbell Only Workout: 5 Day Dumbbell Workout Split,Intermediate,25,5,Split,Ages 51-60,141-160,25-35,1
31,32,Male,162,187.02,Build Muscle,Dumbbell Only Workout: 5 Day Dumbbell Workout Split,Intermediate,0,5,Split,Ages 31-40,180-200,0,1
32,29,Male,154,101.23,Build Muscle,Super Strength: 8 Week Strength Building Workout for Beginners,Beginner,0,6,Split,Ages 18-30,101-120,0,12
33,58,Male,153,132.26,Build Muscle,A/B 2 Day Workout Routine for Busy People,Beginner,10,2,Full Body,Ages 51-60,121-140,5-15,8
34,49,Male,151,154.39,Build Muscle,M-F Workout Routine: 5 Day Body Part Split Workout,Intermediate,6,5,Split,Ages 41-50,141-160,5-15,1
35,43,Male,157,99.66,Build Muscle,8x8 Workout: Lean Muscle Gainz Workout,Intermediate,0,4,Split,Ages 41-50,80-100,0,1
36,40,Male,196,117.05,Lose Fat,The Fat Incinerator: 8 Week Fat Burning Workout,Intermediate,0,5,Split,Ages 31-40,101-120,0,11
37,39,Male,154,156.65,Build Muscle,Super Strength: 8 Week Strength Building Workout for Beginners,Beginner,24,6,Split,Ages 31-40,141-160,15-25,12
38,55,Male,175,170.96,Build Muscle,3 Day Workout Routine and Diet for Beginners,Beginner,44,3,Full Body,Ages 51-60,161-180,35-45,8
39,33,Male,162,193.9,Build Muscle,8 Week Mass Building Hypertrophy Workout,Intermediate,13,4,Split,Ages 31-40,180-200,5-15,1
40,49,Male,157,151.08,Lose Fat,12 Week Fat Destroyer: Complete Fat Loss Workout & Diet Program,Beginner,29,4,Full Body,Ages 41-50,141-160,25-35,7
41,22,Male,190,92.25,Lose Fat,The Fat Incinerator: 8 Week Fat Burning Workout,Intermediate,48,5,Split,Ages 18-30,80-100,45-50,11
42,56,Male,191,113.57,Lose Fat,12 Week Fat Destroyer: Complete Fat Loss Workout & Diet Program,Beginner,8,4,Full Body,Ages 51-60,101-120,5-15,7
43,42,Male,164,167.36,Lose Fat,Extreme Fat Loss: 6 Week Fat Loss Workout Plan,Intermediate,50,3,Full Body,Ages 41-50,161-180,45-50,3
44,20,Male,197,83.2,Build Muscle,Dumbbell Only Workout: 5 Day Dumbbell Workout Split,Intermediate,0,5,Split,Ages 18-30,80-100,0,1
45,55,Male,152,181.79,Build Muscle,Dumbbell Only Workout: 5 Day Dumbbell Workout Split,Intermediate,39,5,Split,Ages 51-60,180-200,35-45,1
46,19,Male,188,184.1,Build Muscle,Super Strength: 8 Week Strength Building Workout for Beginners,Beginner,0,6,Split,Ages 18-30,180-200,0,12
47,47,Male,159,88.35,Build Muscle,Super Strength: 8 Week Strength Building Workout for Beginners,Beginner,17,6,Split,Ages 41-50,80-100,15-25,12
48,56,Male,186,100.07,Build Muscle,Ultimate Workout to Develop a Dramatic V Taper,Beginner,20,5,Split,Ages 51-60,80-100,15-25,12
49,44,Male,179,187.14,Build Muscle,A/B 2 Day Workout Routine for Busy People,Beginner,0,2,Full Body,Ages 41-50,180-200,0,8
50,60,Male,150,190.59,Build Muscle,M-F Workout Routine: 5 Day Body Part Split Workout,Intermediate,0,5,Split,Ages 51-60,180-200,0,1
51,28,Male,189,138.15,Build Muscle,M-F Workout Routine: 5 Day Body Part Split Workout,Intermediate,0,5,Split,Ages 18-30,121-140,0,1
52,23,Male,197,140.86,Build Muscle,3 Day Workout Routine and Diet for Beginners,Beginner,0,3,Full Body,Ages 18-30,121-140,0,8
53,54,Male,182,107.93,Build Muscle,3 Day Workout Routine and Diet for Beginners,Beginner,18,3,Full Body,Ages 51-60,101-120,15-25,8
54,27,Male,152,111.23,Lose Fat,Extreme Fat Loss: 6 Week Fat Loss Workout Plan,Intermediate,0,3,Full Body,Ages 18-30,101-120,0,3
55,23,Male,173,109.9,Build Muscle,Ultimate Workout to Develop a Dramatic V Taper,Beginner,0,5,Split,Ages 18-30,101-120,0,12
56,39,Male,156,102.47,Build Muscle,M-F Workout Routine: 5 Day Body Part Split Workout,Intermediate,0,5,Split,Ages 31-40,101-120,0,1
57,60,Male,183,203.63,Build Muscle,Ultimate Workout to Develop a Dramatic V Taper,Beginner,48,5,Split,Ages 51-60,200+,45-50,12
58,53,Male,178,204.02,Build Muscle,A/B 2 Day Workout Routine for Busy People,Beginner,15,2,Full Body,Ages 51-60,200+,15-25,8
59,47,Male,181,208.98,Build Muscle,8x8 Workout: Lean Muscle Gainz Workout,Intermediate,0,4,Split,Ages 41-50,200+,0,1
60,39,Male,191,85.32,Lose Fat,The Fat Incinerator: 8 Week Fat Burning Workout,Intermediate,13,5,Split,Ages 31-40,80-100,5-15,11
61,19,Male,197,145.17,Lose Fat,12 Week Fat Destroyer: Complete Fat Loss Workout & Diet Program,Beginner,47,4,Full Body,Ages 18-30,141-160,45-50,7
62,28,Male,166,102.87,Build Muscle,8 Week Mass Building Hypertrophy Workout,Intermediate,15,4,Split,Ages 18-30,101-120,15-25,1
63,57,Male,162,166.1,Build Muscle,M-F Workout Routine: 5 Day Body Part Split Workout,Intermediate,0,5,Split,Ages 51-60,161-180,0,1
64,31,Male,192,86.96,Lose Fat,Extreme Fat Loss: 6 Week Fat Loss Workout Plan,Intermediate,44,3,Full Body,Ages 31-40,80-100,35-45,3
65,28,Male,188,168.22,Build Muscle,M-F Workout Routine: 5 Day Body Part Split Workout,Intermediate,5,5,Split,Ages 18-30,161-180,5-15,1
66,45,Male,155,184.23,Build Muscle,M-F Workout Routine: 5 Day Body Part Split Workout,Intermediate,0,5,Split,Ages 41-50,180-200,0,1
67,57,Male,190,208.89,Lose Fat,12 Week Fat Destroyer: Complete Fat Loss Workout & Diet Program,Beginner,17,4,Full Body,Ages 51-60,200+,15-25,7
68,23,Male,154,168.93,Build Muscle,3 Day Workout Routine and Diet for Beginners,Beginner,0,3,Full Body,Ages 18-30,161-180,0,8
69,24,Male,171,88.79,Lose Fat,Livin' Lean: 8 Week Kick-Starter Fat Loss Workout,Beginner,0,4,Split,Ages 18-30,80-100,0,10
70,28,Male,170,207.54,Build Muscle,3 Day Workout Routine and Diet for Beginners,Beginner,0,3,Full Body,Ages 18-30,200+,0,8
71,55,Male,183,140.16,Build Muscle,A/B 2 Day Workout Routine for Busy People,Beginner,44,2,Full Body,Ages 51-60,121-140,35-45,8
72,60,Male,195,104.69,Build Muscle,8x8 Workout: Lean Muscle Gainz Workout,Intermediate,0,4,Split,Ages 51-60,101-120,0,1
73,32,Male,168,187.85,Build Muscle,Super Strength: 8 Week Strength Building Workout for Beginners,Beginner,5,6,Split,Ages 31-40,180-200,5-15,12
74,20,Male,190,158.03,Build Muscle,8x8 Workout: Lean Muscle Gainz Workout,Intermediate,0,4,Split,Ages 18-30,141-160,0,1
75,36,Male,162,112.84,Build Muscle,8 Week Mass Building Hypertrophy Workout,Intermediate,0,4,Split,Ages 31-40,101-120,0,1
76,47,Male,150,101.63,Build Muscle,8x8 Workout: Lean Muscle Gainz Workout,Intermediate,0,4,Split,Ages 41-50,101-120,0,1
77,41,Male,200,193.28,Build Muscle,3 Day Workout Routine and Diet for Beginners,Beginner,0,3,Full Body,Ages 41-50,180-200,0,8
78,18,Male,158,170.48,Lose Fat,Extreme Fat Loss: 6 Week Fat Loss Workout Plan,Intermediate,18,3,Full Body,Ages 18-30,161-180,15-25,3
79,29,Male,179,151.12,Build Muscle,8x8 Workout: Lean Muscle Gainz Workout,Intermediate,48,4,Split,Ages 18-30,141-160,45-50,1
80,22,Male,156,175.99,Build Muscle,3 Day Workout Routine and Diet for Beginners,Beginner,13,3,Full Body,Ages 18-30,161-180,5-15,8
81,29,Male,199,191.77,Lose Fat,Extreme Fat Loss: 6 Week Fat Loss Workout Plan,Intermediate,0,3,Full Body,Ages 18-30,180-200,0,3
82,56,Male,155,139.75,Build Muscle,Super Strength: 8 Week Strength Building Workout for Beginners,Beginner,10,6,Split,Ages 51-60,121-140,5-15,12
83,54,Male,152,102.27,Build Muscle,Dumbbell Only Workout: 5 Day Dumbbell Workout Split,Intermediate,25,5,Split,Ages 51-60,101-120,25-35,1
84,46,Male,159,173.49,Lose Fat,The Fat Incinerator: 8 Week Fat Burning Workout,Intermediate,47,5,Split,Ages 41-50,161-180,45-50,11
85,53,Male,152,185.95,Lose Fat,The Fat Incinerator: 8 Week Fat Burning Workout,Intermediate,0,5,Split,Ages 51-60,180-200,0,11
86,57,Male,159,127.33,Lose Fat,Livin' Lean: 8 Week Kick-Starter Fat Loss Workout,Beginner,35,4,Split,Ages 51-60,121-140,35-45,10
87,26,Male,174,173.77,Lose Fat,Livin' Lean: 8 Week Kick-Starter Fat Loss Workout,Beginner,35,4,Split,Ages 18-30,161-180,35-45,10
88,20,Male,177,178.01,Build Muscle,Dumbbell Only Workout: 5 Day Dumbbell Workout Split,Intermediate,7,5,Split,Ages 18-30,161-180,5-15,1
89,47,Male,180,165.65,Build Muscle,A/B 2 Day Workout Routine for Busy People,Beginner,0,2,Full Body,Ages 41-50,161-180,0,8
90,46,Male,196,187.55,Build Muscle,Dumbbell Only Workout: 5 Day Dumbbell Workout Split,Intermediate,16,5,Split,Ages 41-50,180-200,15-25,1
91,43,Male,182,80.23,Build Muscle,3 Day Workout Routine and Diet for Beginners,Beginner,0,3,Full Body,Ages 41-50,80-100,0,8
92,40,Male,185,171.31,Lose Fat,Livin' Lean: 8 Week Kick-Starter Fat Loss Workout,Beginner,20,4,Split,Ages 31-40,161-180,15-25,10
93,19,Male,159,151.89,Build Muscle,Super Strength: 8 Week Strength Building Workout for Beginners,Beginner,28,6,Split,Ages 18-30,141-160,25-35,12
94,26,Male,152,143.61,Build Muscle,M-F Workout Routine: 5 Day Body Part Split Workout,Intermediate,26,5,Split,Ages 18-30,141-160,25-35,1
95,49,Male,198,203.3,Build Muscle,M-F Workout Routine: 5 Day Body Part Split Workout,Intermediate,35,5,Split,Ages 41-50,200+,35-45,1
96,22,Male,187,150.42,Build Muscle,Dumbbell Only Workout: 5 Day Dumbbell Workout Split,Intermediate,0,5,Split,Ages 18-30,141-160,0,1
97,40,Male,175,194.09,Build Muscle,A/B 2 Day Workout Routine for Busy People,Beginner,0,2,Full Body,Ages 31-40,180-200,0,8
98,20,Male,185,182.06,Build Muscle,A/B 2 Day Workout Routine for Busy People,Beginner,40,2,Full Body,Ages 18-30,180-200,35-45,8
99,54,Male,192,173.23,Lose Fat,Extreme Fat Loss: 6 Week Fat Loss Workout Plan,Intermediate,38,3,Full Body,Ages 51-60,161-180,35-45,3
100,54,Male,170,90.05,Lose Fat,12 Week Fat Destroyer: Complete Fat Loss Workout & Diet Program,Beginner,0,4,Full Body,Ages 51-60,80-100,0,7
101,32,Male,164,133.02,Build Muscle,3 Day Workout Routine and Diet for Beginners,Beginner,0,3,Full Body,Ages 31-40,121-140,0,8
102,36,Male,187,168.48,Lose Fat,The Fat Incinerator: 8 Week Fat Burning Workout,Intermediate,0,5,Split,Ages 31-40,161-180,0,11
103,32,Male,166,106.36,Build Muscle,3 Day Workout Routine and Diet for Beginners,Beginner,0,3,Full Body,Ages 31-40,101-120,0,8
104,22,Male,190,99.65,Build Muscle,Ultimate Workout to Develop a Dramatic V Taper,Beginner,23,5,Split,Ages 18-30,80-100,15-25,12
105,37,Male,184,92.61,Build Muscle,8 Week Mass Building Hypertrophy Workout,Intermediate,0,4,Split,Ages 31-40,80-100,0,1
106,46,Male,166,165.16,Lose Fat,Livin' Lean: 8 Week Kick-Starter Fat Loss Workout,Beginner,8,4,Split,Ages 41-50,161-180,5-15,10
107,55,Male,158,113.31,Build Muscle,A/B 2 Day Workout Routine for Busy People,Beginner,30,2,Full Body,Ages 51-60,101-120,25-35,8
108,30,Male,189,196.5,Lose Fat,The Fat Incinerator: 8 Week Fat Burning Workout,Intermediate,23,5,Split,Ages 18-30,180-200,15-25,11
109,46,Male,170,148.95,Lose Fat,12 Week Fat Destroyer: Complete Fat Loss Workout & Diet Program,Beginner,41,4,Full Body,Ages 41-50,141-160,35-45,7
110,35,Male,177,143.92,Build Muscle,Dumbbell Only Workout: 5 Day Dumbbell Workout Split,Intermediate,0,5,Split,Ages 31-40,141-160,0,1
111,59,Male,157,98.46,Lose Fat,The Fat Incinerator: 8 Week Fat Burning Workout,Intermediate,0,5,Split,Ages 51-60,80-100,0,11
112,34,Male,163,98.15,Lose Fat,Livin' Lean: 8 Week Kick-Starter Fat Loss Workout,Beginner,13,4,Split,Ages 31-40,80-100,5-15,10
113,42,Male,170,158.65,Build Muscle,A/B 2 Day Workout Routine for Busy People,Beginner,31,2,Full Body,Ages 41-50,141-160,25-35,8
114,58,Male,200,110.32,Build Muscle,Super Strength: 8 Week Strength Building Workout for Beginners,Beginner,0,6,Split,Ages 51-60,101-120,0,12
115,34,Male,150,133.61,Lose Fat,The Fat Incinerator: 8 Week Fat Burning Workout,Intermediate,43,5,Split,Ages 31-40,121-140,35-45,11
116,28,Male,161,102.09,Build Muscle,A/B 2 Day Workout Routine for Busy People,Beginner,9,2,Full Body,Ages 18-30,101-120,5-15,8
117,40,Male,191,116.31,Lose Fat,12 Week Fat Destroyer: Complete Fat Loss Workout & Diet Program,Beginner,0,4,Full Body,Ages 31-40,101-120,0,7
118,53,Male,158,136.47,Build Muscle,8x8 Workout: Lean Muscle Gainz Workout,Intermediate,0,4,Split,Ages 51-60,121-140,0,1
119,38,Male,188,168.22,Build Muscle,3 Day Workout Routine and Diet for Beginners,Beginner,0,3,Full Body,Ages 31-40,161-180,0,8
120,41,Male,199,89.57,Lose Fat,Extreme Fat Loss: 6 Week Fat Loss Workout Plan,Intermediate,28,3,Full Body,Ages 41-50,80-100,25-35,3
121,22,Male,155,115.6,Build Muscle,8x8 Workout: Lean Muscle Gainz Workout,Intermediate,0,4,Split,Ages 18-30,101-120,0,1
122,54,Male,189,127.98,Build Muscle,8x8 Workout: Lean Muscle Gainz Workout,Intermediate,34,4,Split,Ages 51-60,121-140,25-35,1
123,36,Male,165,92.89,Lose Fat,Livin' Lean: 8 Week Kick-Starter Fat Loss Workout,Beginner,0,4,Split,Ages 31-40,80-100,0,10
124,54,Male,161,145.04,Build Muscle,M-F Workout Routine: 5 Day Body Part Split Workout,Intermediate,9,5,Split,Ages 51-60,141-160,5-15,1
125,42,Male,162,82.56,Lose Fat,Livin' Lean: 8 Week Kick-Starter Fat Loss Workout,Beginner,30,4,Split,Ages 41-50,80-100,25-35,10
126,53,Male,199,149.19,Build Muscle,Super Strength: 8 Week Strength Building Workout for Beginners,Beginner,0,6,Split,Ages 51-60,141-160,0,12
127,18,Male,178,183.31,Build Muscle,A/B 2 Day Workout Routine for Busy People,Beginner,48,2,Full Body,Ages 18-30,180-200,45-50,8
128,41,Male,166,97.9,Lose Fat,12 Week Fat Destroyer: Complete Fat Loss Workout & Diet Program,Beginner,36,4,Full Body,Ages 41-50,80-100,35-45,7
129,56,Male,173,144.07,Build Muscle,M-F Workout Routine: 5 Day Body Part Split Workout,Intermediate,0,5,Split,Ages 51-60,141-160,0,1
130,20,Male,200,194.71,Lose Fat,12 Week Fat Destroyer: Complete Fat Loss Workout & Diet Program,Beginner,0,4,Full Body,Ages 18-30,180-200,0,7
131,44,Male,157,204.17,Build Muscle,Dumbbell Only Workout: 5 Day Dumbbell Workout Split,Intermediate,48,5,Split,Ages 41-50,200+,45-50,1
132,27,Male,158,147.66,Build Muscle,8 Week Mass Building Hypertrophy Workout,Intermediate,42,4,Split,Ages 18-30,141-160,35-45,1
133,26,Male,181,122.19,Build Muscle,Dumbbell Only Workout: 5 Day Dumbbell Workout Split,Intermediate,0,5,Split,Ages 18-30,121-140,0,1
134,32,Male,163,162.67,Build Muscle,8x8 Workout: Lean Muscle Gainz Workout,Intermediate,0,4,Split,Ages 31-40,161-180,0,1
135,55,Male,159,145.38,Build Muscle,Ultimate Workout to Develop a Dramatic V Taper,Beginner,0,5,Split,Ages 51-60,141-160,0,12
136,59,Male,188,109.6,Build Muscle,A/B 2 Day Workout Routine for Busy People,Beginner,0,2,Full Body,Ages 51-60,101-120,0,8
137,28,Male,150,183.43,Build Muscle,M-F Workout Routine: 5 Day Body Part Split Workout,Intermediate,0,5,Split,Ages 18-30,180-200,0,1
138,28,Male,166,167.33,Build Muscle,A/B 2 Day Workout Routine for Busy People,Beginner,0,2,Full Body,Ages 18-30,161-180,0,8
139,32,Male,175,114.0,Lose Fat,12 Week Fat Destroyer: Complete Fat Loss Workout & Diet Program,Beginner,0,4,Full Body,Ages 31-40,101-120,0,7
140,59,Male,178,183.16,Build Muscle,8 Week Mass Building Hypertrophy Workout,Intermediate,22,4,Split,Ages 51-60,180-200,15-25,1
141,52,Male,173,127.05,Build Muscle,3 Day Workout Routine and Diet for Beginners,Beginner,0,3,Full Body,Ages 51-60,121-140,0,8
142,21,Male,161,152.5,Build Muscle,8x8 Workout: Lean Muscle Gainz Workout,Intermediate,44,4,Split,Ages 18-30,141-160,35-45,1
143,33,Male,200,135.45,Lose Fat,Extreme Fat Loss: 6 Week Fat Loss Workout Plan,Intermediate,26,3,Full Body,Ages 31-40,121-140,25-35,3
144,30,Male,175,120.22,Build Muscle,A/B 2 Day Workout Routine for Busy People,Beginner,0,2,Full Body,Ages 18-30,101-120,0,8
145,52,Male,195,141.79,Lose Fat,12 Week Fat Destroyer: Complete Fat Loss Workout & Diet Program,Beginner,0,4,Full Body,Ages 51-60,141-160,0,7
146,38,Male,177,122.5,Build Muscle,3 Day Workout Routine and Diet for Beginners,Beginner,35,3,Full Body,Ages 31-40,121-140,35-45,8
147,21,Male,163,103.12,Build Muscle,Super Strength: 8 Week Strength Building Workout for Beginners,Beginner,7,6,Split,Ages 18-30,101-120,5-15,12
148,59,Male,179,162.9,Build Muscle,Super Strength: 8 Week Strength Building Workout for Beginners,Beginner,26,6,Split,Ages 51-60,161-180,25-35,12
149,38,Male,184,97.15,Lose Fat,Extreme Fat Loss: 6 Week Fat Loss Workout Plan,Intermediate,0,3,Full Body,Ages 31-40,80-100,0,3
150,52,Male,169,92.52,Build Muscle,8x8 Workout: Lean Muscle Gainz Workout,Intermediate,36,4,Split,Ages 51-60,80-100,35-45,1
151,24,Male,158,167.18,Build Muscle,M-F Workout Routine: 5 Day Body Part Split Workout,Intermediate,0,5,Split,Ages 18-30,161-180,0,1
152,29,Male,189,104.83,Lose Fat,The Fat Incinerator: 8 Week Fat Burning Workout,Intermediate,38,5,Split,Ages 18-30,101-120,35-45,11
153,37,Male,195,179.09,Lose Fat,Livin' Lean: 8 Week Kick-Starter Fat Loss Workout,Beginner,0,4,Split,Ages 31-40,161-180,0,10
154,18,Male,167,157.74,Build Muscle,Ultimate Workout to Develop a Dramatic V Taper,Beginner,25,5,Split,Ages 18-30,141-160,25-35,12
155,33,Male,182,202.53,Build Muscle,3 Day Workout Routine and Diet for Beginners,Beginner,21,3,Full Body,Ages 31-40,200+,15-25,8
156,46,Male,197,177.04,Build Muscle,M-F Workout Routine: 5 Day Body Part Split Workout,Intermediate,0,5,Split,Ages 41-50,161-180,0,1
157,60,Male,180,111.54,Build Muscle,Ultimate Workout to Develop a Dramatic V Taper,Beginner,0,5,Split,Ages 51-60,101-120,0,12
158,22,Male,183,87.59,Build Muscle,Ultimate Workout to Develop a Dramatic V Taper,Beginner,40,5,Split,Ages 18-30,80-100,35-45,12
159,54,Male,151,109.17,Build Muscle,3 Day Workout Routine and Diet for Beginners,Beginner,0,3,Full Body,Ages 51-60,101-120,0,8
160,51,Male,169,121.46,Build Muscle,8 Week Mass Building Hypertrophy Workout,Intermediate,0,4,Split,Ages 51-60,121-140,0,1
161,22,Male,173,123.45,Build Muscle,Super Strength: 8 Week Strength Building Workout for Beginners,Beginner,0,6,Split,Ages 18-30,121-140,0,12
162,41,Male,157,83.95,Lose Fat,Extreme Fat Loss: 6 Week Fat Loss Workout Plan,Intermediate,0,3,Full Body,Ages 41-50,80-100,0,3
163,39,Male,195,183.76,Lose Fat,Extreme Fat Loss: 6 Week Fat Loss Workout Plan,Intermediate,0,3,Full Body,Ages 31-40,180-200,0,3
164,21,Male,163,101.87,Build Muscle,8x8 Workout: Lean Muscle Gainz Workout,Intermediate,43,4,Split,Ages 18-30,101-120,35-45,1
165,27,Male,153,107.64,Build Muscle,Dumbbell Only Workout: 5 Day Dumbbell Workout Split,Intermediate,0,5,Split,Ages 18-30,101-120,0,1
166,28,Male,160,152.63,Lose Fat,Livin' Lean: 8 Week Kick-Starter Fat Loss Workout,Beginner,38,4,Split,Ages 18-30,141-160,35-45,10
167,23,Male,198,203.7,Build Muscle,8 Week Mass Building Hypertrophy Workout,Intermediate,0,4,Split,Ages 18-30,200+,0,1
168,31,Male,166,176.28,Build Muscle,M-F Workout Routine: 5 Day Body Part Split Workout,Intermediate,0,5,Split,Ages 31-40,161-180,0,1
169,24,Male,150,115.43,Build Muscle,3 Day Workout Routine and Diet for Beginners,Beginner,0,3,Full Body,Ages 18-30,101-120,0,8
170,32,Male,178,145.06,Build Muscle,3 Day Workout Routine and Diet for Beginners,Beginner,27,3,Full Body,Ages 31-40,141-160,25-35,8
171,38,Male,190,107.61,Build Muscle,8x8 Workout: Lean Muscle Gainz Workout,Intermediate,0,4,Split,Ages 31-40,101-120,0,1
172,52,Male,163,103.83,Lose Fat,The Fat Incinerator: 8 Week Fat Burning Workout,Intermediate,43,5,Split,Ages 51-60,101-120,35-45,11
173,45,Male,169,184.78,Build Muscle,Super Strength: 8 Week Strength Building Workout for Beginners,Beginner,0,6,Split,Ages 41-50,180-200,0,12
174,21,Male,194,178.93,Build Muscle,8x8 Workout: Lean Muscle Gainz Workout,Intermediate,0,4,Split,Ages 18-30,161-180,0,1
175,44,Male,185,88.39,Build Muscle,Super Strength: 8 Week Strength Building Workout for Beginners,Beginner,47,6,Split,Ages 41-50,80-100,45-50,12
176,42,Male,163,130.78,Lose Fat,Extreme Fat Loss: 6 Week Fat Loss Workout Plan,Intermediate,5,3,Full Body,Ages 41-50,121-140,5-15,3
177,36,Male,170,107.53,Lose Fat,12 Week Fat Destroyer: Complete Fat Loss Workout & Diet Program,Beginner,31,4,Full Body,Ages 31-40,101-120,25-35,7
178,18,Male,157,168.06,Build Muscle,M-F Workout Routine: 5 Day Body Part Split Workout,Intermediate,0,5,Split,Ages 18-30,161-180,0,1
179,34,Male,171,147.1,Lose Fat,The Fat Incinerator: 8 Week Fat Burning Workout,Intermediate,0,5,Split,Ages 31-40,141-160,0,11
180,24,Male,182,197.38,Build Muscle,Dumbbell Only Workout: 5 Day Dumbbell Workout Split,Intermediate,0,5,Split,Ages 18-30,180-200,0,1
181,55,Male,159,111.22,Build Muscle,A/B 2 Day Workout Routine for Busy People,Beginner,0,2,Full Body,Ages 51-60,101-120,0,8
182,36,Male,172,133.15,Build Muscle,3 Day Workout Routine and Diet for Beginners,Beginner,0,3,Full Body,Ages 31-40,121-140,0,8
